Transaction	Supplier	Type	Date	PLU	Paid	"Curve /
Bleap"	Value
Test'em All	PayPal	Surveys	06/11/2024	-	-	-	0.25€
Nicequest - Amazon	Vale	Surveys	05/11/2024	-	-	-	5€
Nicequest - Amazon	Vale	Surveys	05/11/2024	-	-	-	5€
beRuby	PayPal	Surveys	05/11/2024			-	10.00€
AttaPoll	PayPal	Surveys	31/10/2024	-	-	-	7.60€
AttaPoll	PayPal	Surveys	31/10/2024	-	-	-	8.23€
Poll Pay	PayPal 	Surveys	31/10/2024	-	-	-	5.00€
Bulbshare	PayPal	Surveys	25/10/2024	-	-	-	31€
Nicequest - Amazon	Vale	Surveys	22/10/2024	-	-	-	15€
Nicequest - Amazon	Vale	Surveys	21/10/2024	-	-	-	10€
AttaPoll	Revolut	Surveys	30/09/2024	-	-	-	7.89€
AttaPoll	PayPal	Surveys	30/09/2024	-	-	-	12.69€
Poll Pay	PayPal	Surveys	05/09/2024	-	-	-	15.00€
AttaPoll	PayPal	Surveys	31/08/2024	-	-	-	4.32€
AttaPoll	PayPal	Surveys	07/08/2024	-	-	-	3.01€
AttaPoll	PayPal	Surveys	06/08/2024	-	-	-	2.83€
AttaPoll	PayPal	Surveys	05/08/2024	-	-	-	3.58€
beRuby	PayPal	Surveys	05/08/2024			-	10.00€
AttaPoll	PayPal	Surveys	26/07/2024	-	-	-	2.55€
AttaPoll	PayPal	Surveys	22/07/2024	-	-	-	3.43€
AttaPoll	PayPal	Surveys	15/07/2024	-	-	-	2.51€
YouGov	TB	Surveys	15/07/2024	-	-	-	25.00€
AttaPoll	PayPal	Surveys	04/07/2024	-	-	-	3.06€
AttaPoll	PayPal	Surveys	04/07/2024	-	-	-	2.96€
AttaPoll	PayPal	Surveys	26/06/2024	-	-	-	2.76€
AttaPoll	PayPal	Surveys	25/06/2024	-	-	-	3.59€
Nicequest	Vale	Surveys	17/06/2024	-	-	-	25€
Poll Pay	PayPal	Surveys	14/06/2024	-	-	-	10.00€
Poll Pay	PayPal	Surveys	12/06/2024	-	-	-	10.00€
AttaPoll	PayPal	Surveys	11/06/2024	-	-	-	3.31€
AttaPoll	PayPal	Surveys	11/06/2024	-	-	-	4.16€
beRuby	PayPal	Surveys	05/06/2024			-	10.00€
AttaPoll	PayPal	Surveys	03/06/2024	-	-	-	4.81€
Poll Pay	PayPal	Surveys	01/06/2024	-	-	-	10.00€
AttaPoll - Piti	PayPal	Surveys	28/05/2024	-	-	-	3.80€
AttaPoll - Piti	PayPal	Surveys	09/05/2024	-	-	-	3.45€
Poll Pay	PayPal	Surveys	08/04/2024			-	10.00€
AttaPoll - Piti	Revolut	Surveys	05/04/2024			-	2.56€
beRuby	TB	Surveys	28/03/2024			-	10.00€
AttaPoll - Piti	Revolut	Surveys	14/03/2024			-	3.14€
AttaPoll	PayPal	Surveys	12/03/2024			-	3.24€
AttaPoll	PayPal	Surveys	05/03/2024			-	3.46€
AttaPoll	PayPal	Surveys	01/03/2024			-	3.02€
AttaPoll	PayPal	Surveys	02/02/2024			-	3.27€
AttaPoll - Piti	PayPal	Surveys	02/02/2024			-	3.10€
AttaPoll	PayPal	Surveys	01/02/2024			-	3.34€
AttaPoll	PayPal	Surveys	26/01/2024			-	3.05€
AttaPoll	PayPal	Surveys	15/01/2024			-	3.29€
AttaPoll	PayPal	Surveys	10/01/2024				3.10€
AttaPoll	PayPal	Surveys	05/01/2024				3.33€
beRuby - Piti	PayPal	Surveys	02/01/2024				10.00€
AttaPoll - Piti	PayPal 	Surveys	22/12/2023				3.30€
AttaPoll	PayPal	Surveys	22/12/2023				3.21€
AttaPoll	PayPal	Surveys	21/12/2023				4.02€
AttaPoll	PayPal	Surveys	20/12/2023				3.03€
AttaPoll - Piti	PayPal	Surveys	15/12/2023				5.13€
AttaPoll	PayPal	Surveys	15/12/2023				3.19€
AttaPoll	PayPal	Surveys	14/12/2023				3.40€
AttaPoll	PayPal	Surveys	13/12/2023				3.28€
AttaPoll	PayPal	Surveys	04/12/2023				3.63€
AttaPoll	PayPal	Surveys	23/11/2023				3.08€
AttaPoll	PayPal	Surveys	17/10/2023				3.12€
Poll Pay	PayPal	Surveys	13/10/2023				10€
AttaPoll - Piti	PayPal	Surveys	07/10/2023				3.22€
AttaPoll	PayPal	Surveys	06/10/2023				3.40€
AttaPoll	PayPal	Surveys	11/09/2023				3.12€
AttaPoll	PayPal	Surveys	25/08/2023				3.24€
Nicequest	Vale	Surveys	07/08/2023				25€
AttaPoll	PayPal	Surveys	04/07/2023				3.09€
AttaPoll	PayPal	Surveys	05/06/2023				3.35€
Poll Pay	PayPal	Surveys	29/05/2023				10€
beRuby	PayPal	Surveys	29/05/2023				100€
Toluna	Vale	Surveys	26/05/2023				5€
AttaPoll - Piti	PayPal	Surveys	07/10/2023				3.22€
AttaPoll	PayPal	Surveys	06/10/2023				3.40€
AttaPoll	PayPal	Surveys	11/09/2023				3.12€
AttaPoll	PayPal	Surveys	25/08/2023				3.24€
Nicequest	Vale	Surveys	07/08/2023				25€
AttaPoll	PayPal	Surveys	04/07/2023				3.09€
AttaPoll	PayPal	Surveys	05/06/2023				3.35€
Poll Pay	PayPal	Surveys	29/05/2023				10€
beRuby	PayPal	Surveys	29/05/2023				100€
Toluna	Vale	Surveys	26/05/2023				5€
